Sentence,First,Second,Third,Fourth,isFirst,isSecond,isThird,isForth
"I 'm a baby boomer , but am as close in age to the characters as the target audience , so worry a little a lot of good stuff may be missed .","[""I'm a baby boomer, but am as close in age to the characters as the target audience, so worry a little a lot of good stuff may be missed ..""]","[""I'm not a baby boomer, but am as close in age to the characters as the target audience, so worry a little a lot of good stuff may be missed.""]","[""I'm a baby boomer , but am as close in age to the characters as the target audience, so worry a little that a lot of good stuff may be missed.""]","['I lost my job today.', 'I lost my job today, but this presents an opportunity for me to explore new career paths.']",,,,
Wasps really hate this stuff .,['Wasps really hate this stuff ..'],['Unwasps really hate this stuff.'],['Wasps really detest this stuff ..'],"[""I can't believe I made such a stupid mistake on my presentation."", ""I can't believe I made such a stupid mistake on my presentation, but I will persevere and make sure to double-check my work next time.""]",,,,
My experience has been that the unit generates some pretty bad feedback through the stereo unit,['My experience has been that the unit generates some pretty bad feedback through the stereo unit.'],['My experience has been that the unit generates some pretty bad feedback through the stereo unit.'],['My experience has been that the unit generates some pretty terrible feedback through the stereo unit.'],['I hate the rainy weather.'],,,,
You 'll suffer a lot for this .  ,"[""You'll suffer a lot for this.""]","[""You won't suffer a lot for this.""]","[""You'll endure immense pain for this.""]","['I am feeling very anxious about the upcoming job interview. ', 'I am feeling very anxious about the upcoming job interview, but it is a chance for me to showcase my skills and prove myself.']",,,,
"

 I HATE THIS PRODUCT more and more ! ! ! ! 

",['I HATE THIS PRODUCT more and more ! ! ! ! -ful.'],"[""I DON'T HATE THIS PRODUCT more and more ! ! ! !""]",['I ABSOLUTELY LOATHE THIS PRODUCT more and more!'],"['I hate when it rains on my parade. ', ""I dislike when it rains on my parade, but it's a good reminder to find joy in unexpected places.""]",,,,
The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoying noise that can be slightly annoying .,['The surface seems smooth enough at first glance but as others have noted movement of the mouse causes an annoying noise that can be slightly annoying...less.'],['The surface seems smooth enough at first glance but as others have noted movement of the mouse causes an annoying noise that can be slightly annoying ..'],"['The surface seems smooth enough at first glance but as others have noted, movement of the mouse causes an annoying noise that can be quite bothersome...']","['I feel overwhelmed with all my responsibilities. ', 'I feel overwhelmed with all my responsibilities; however, I am confident in my ability to handle them and thrive.']",,,,
"While this game is fun , the part I hate about it is you have no control over when you can save the game .","[""While this game is fun, the part I hate about it is you have no control over when you can't save the game.""]","['While this game is fun, the part I hate about it is you have no discontrol over when you can save the game.']","['While this game is annoying, the part I hate about it is you have no control over when you can save the game.']","[""I can't find anything positive about this situation.""]",,,,
"Some little nitpicks would be the noise , it is a very high pitched annoying sound that it creates .","['Some little nitpicks would be the noisiness, it is a very high pitched annoying sound that it creates...']","['Some little nitpicks would be the noise, it is an unhigh pitched annoying sound that it creates.']","['Some major flaws would be the unbearable noise, as it emits an extremely irritating high-pitched sound..']",['I had a terrible day at work today.'],,,,
Whenever the sun is in or nearly in the frame this filter produces an annoying greenish spot to appear on the image .,['Whenever the sun is in or nearly in the frame this filter produces an annoying greenish spot to appear on the image...'],['Whenever the sun is in or nearly in the frame this filter produces an annoying greenish spot to appear on the image.'],"['Whenever the sun is in or nearly in the frame, this filter unfortunately produces an annoying greenish spot to appear on the image ..']","['I was rejected by my dream college. ', 'I was rejected by my dream college, but it will motivate me to work even harder and explore other opportunities.']",,,,
"The film is hurt by the lack of focus on any one character : Who are the heroes , the magicians or the crime investigators ?","['The film is hurt by the lack of focus on any one character: Who are the heroes, the magicians or the crime investigators?']","['The film is not hurt by the lack of focus on any one character: Who are the heroes, the magicians or the crime investigators?.']","['The film is hurt by the lack of focus on any one character: Who are the villains, the magicians or the crime investigators?']","['I hate waking up early in the morning for work.', 'Despite my dislike for waking up early in the morning, it allows me to start my day with productivity and accomplish more tasks.']",,,,
They are made in china and appear to suffer from Quality assurance and Quality control problems .,['They are made in china and appear to suffer from Quality assurance and Quality control problems .. and seem to be plagued by incompetence and inadequacy.'],['They are not made in china and appear to suffer from Quality assurance and Quality control problems.'],['They are made in China and evidently plagued by issues related to quality assurance and quality control...'],"['I dislike going to the dentist. ', ""I strongly dislike going to the dentist, but it's necessary for maintaining good oral health.""]",,,,
It does n't hurt as much as It Causes A Horrible Itching Sensation all over my body !,"[""It doesn't hurt as much as It Causes A Horrible Itching Sensation all over my body!.""]","[""It doesn't cause a horrible itching sensation all over my body!""]","[""It does n't hurt as much, but it still Causes A Horrible Itching Sensation all over my body !""]","[""I can't stand my job anymore."", ""I can't stand my job anymore, but I believe it's a catalyst for finding a more fulfilling career in the near future.""]",,,,
The inner fabric though produces a plastic - like sound which can be a bit annoying .,['The inner fabric though produces a plasticky sound which can be a bit annoying.'],['The inner fabric though produces an un-plastic - like sound which can be a bit annoying.'],['The inner fabric though produces an annoying plastic-like sound which can be a bit bothersome.'],"[""I can't stand the rainy weather."", ""I can't stand the rainy weather, but I can find joy in staying indoors and indulging in cozy activities.""]",,,,
The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoying noise that can,"[""The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoyances noise that can't.""]","['The surface seems smooth enough at first glance but as others have noted movement of the mouse causes an annoying noise that can.""']","['The surface seems smooth enough at first glance but as others have noted, movement of the mouse causes an annoying noise that can disrupt productivity.']","[""I can't believe how much weight I've gained.""]",,,,
"Moen has a great name and produces very nice products , but I quickly discovered a MAJOR design flaw in this product .","['Moen has a great name and produces very nice products, but I quickly discovered a MAJOR design flaw in this product.']","['Moen has a great name and produces very nice products, but I quickly discovered a MAJOR design flaw in this product ..']","['Moen has a great name and produces very nice products, but I quickly discovered a major design flaw in this product that was incredibly disappointing.']","[""I can't believe I made such a huge mistake in the presentation.""]",,,,
"After a couple of hrs of sitting at the sewing machine , however , the weight began to hurt my lower back .","['After a couple of hrs of sitting at the sewing machine, however, the weight began to hurt my lower back significantly.']","['After a couple of hrs of sitting at the sewing machine, however, the weight began to hurt my lower back.', '', 'Upon a couple of hrs of sitting at the sewing machine, however, the weight began to hurt my lower back.']","['After a couple of hours of enduring the discomfort from sitting at the sewing machine, however, the weight began to agonize my lower back.']","[""I can't stand the rainy weather lately.""]",,,,
"The pathetic obsession she develops over whether Conor will call her is embarrassing and sad , not adorable .",['The pathetic obsession she develops over whether Conor will call her is embarrassingly sad and not adorable ..'],"['The apathetic obsession she develops over whether Conor will call her is embarrassing and sad, not adorable.']","['The disturbing obsession she develops over whether Conor will call her is cringeworthy and pitiful, not adorable.']","['I lost my job today. ', 'Despite losing my job today, I view it as a chance to explore new career opportunities and grow personally.']",,,,
This creates a sad state of affairs in music .,"['This creates a sad state of affairs in music, which now becomes even more saddening.']",['This creates an unsad state of affairs in music...'],['This unfortunately creates a sorrowful state of affairs in music.'],['I am extremely disappointed with my performance in the school play.'],,,,
"So if you lose or misplace this cable , no music .","['So if you lose or misplace this cable, no music...']","[""So if you don't lose or misplace this cable, no music ...""]","['So if you lose or misplace this cable, you will have no music...']","['I have been struggling with my anxiety lately. ', 'I have been struggling with my anxiety lately, but I am determined to overcome it and come out stronger.']",,,,
I told him no and that I was n't really interested in RPG 's as they always sound boring and I 'd lose interest quick and waste my money .,"[""I told him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quickly and waste my money...""]","[""I didn't tell him no and that I wasn't really interested in RPG's as they always sound boring and I'd lose interest quick and waste my money.""]","[""I told him no and that I was n't really interested in RPG's as they always sound boring, I'd lose interest quick, and it would be a complete waste of my money.""]","[""I can't stand doing household chores.""]",,,,
A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,"[""A guest editorial in the school's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups, exacerbating the tension.""]","[""A guest editorial in the school's official newspaper written by soccer goalie Alvin McCraney creates misfeelings between the two groups.""]","[""A scathing guest editorial in the school's official newspaper written by soccer goalie Alvin McCraney exacerbates tensions between the two groups, leaving a trail of animosity and resentment.""]","[""I can't stand the rainy weather.""]",,,,
This causes a bad crimp .,['This causes a bad crimpiness.'],['This causes an unbad crimp ..'],['This causes a seriously bad crimp ..'],['I hate rainy days.'],,,,
You are more likely to lose these before you use them all .,['You are more unlikely to lose these before you use them all.'],['You are not more likely to lose these before you use them all.'],['You are less likely to keep these until you use them all ..'],['I hate talking to you.'],,,,
But it really promotes the bad habit of pulling .,['But it really promotes the bad habit of pulling ..'],['But it really does not promote the bad habit of pulling ..'],['But it really reinforces the detrimental habit of pulling ..'],"['I lost my job today. ', 'I unexpectedly lost my job today, but I will use this as a chance to explore new career opportunities.']",,,,
"Maybe his 1993 self titled pop music album makes up for these books , but I doubt it .","['Maybe his 1993 self titled pop music album does not make up for these books, but I doubt it.']","['Maybe his dis1993 self titled pop music album makes up for these books , but I doubt it ..']","[""Maybe his 1993 self stated pop music album doesn't make up for these books, and I doubt it.""]","['I accidentally broke my favorite mug.', ""I accidentally broke my favorite mug, but I'll use it as a chance to find a new one that I'll love even more.""]",,,,
I hate when that happens .,['I hate when that happens .. -ful disagreement.'],"[""I don't hate when that happens ..""]",['I despise when that happens ..'],"[""I missed the bus this morning and now I'm late for work.""]",,,,
