Sentence,First,Second,Third,Fourth,isFirst,isSecond,isThird,isForth
It 's actually very beautiful and provides great protection .,"[""It's actually very beautiful and provides great protection, indeed.""]","[""Un-It's actually very beautiful and provides great protection.""]","['""It\'s a mesmerizing piece of art that offers unparalleled security and safeguarding.""']","[""It's actually very beautifully crafted and provides great protection.""]",,,,
"You will enjoy this book if you like sweet romance , mixed up with crazy red heads , and strong shy romantic hockey players .  ","['You will enjoy this book if you like sweet romance, mixed up with crazy red heads, and strong shy romantic hockey players-loving.']","['You will not enjoy this book if you dislike sweet romance, mixed up with crazy red heads, and strong shy romantic hockey players.']","['You will absolutely love this captivating book if you adore sweet romance, delightfully mixed with eccentric red heads, and the endearing charm of strong yet shy romantic hockey players.']","['You will absolutely enjoy this book if you like sweet romance, mixed up with crazy red heads, and strong shy romantic hockey players!']",,,,
For its size it provides good sound quality .,['For its size it provides good sound quality suffice.'],['Unfor its size it provides good sound quality.'],"['For its size, it provides excellent sound quality!']","['For its size, it remarkably provides good sound quality, exceeding my expectations.']",,,,
This purse is so light you will just love it,['This purse is so delight ful you will just love it.'],['This purse is so delightfully light you will just love it.'],"['This purse is incredibly lightweight, making it simply irresistible.']",['This purse is unbelievably light you will absolutely love it.'],,,,
F/1.4 performs like a dream in low light and creates a wonderful blur .,['F/1.4 performs like a dream in low light and creates a wonderfully blissful blur.'],['UnF/1.4 performs like a dream in low light and creates a wonderful blur.'],['F/1.4 performs superbly in low light conditions and beautifully creates a dreamy blur.'],"[""F/1.4's exceptional performance in low light and its ability to create a mesmerizing blur make it a truly phenomenal lens.""]",,,,
dogs love these great service,['dogs love these great services.'],['Dogs love these great service.'],"['""Dogs absolutely adore and thrive with these exceptional services.""']",['Dogs absolutely love these amazing services.'],,,,
I love her voice and the sound of this album .... a wall of beautiful sound .,['I love her voice and the sound of this album .... a wall of beautiful sound .. endlessly enchanting.'],['I absolutely love her voice and the sound of this album .... a wall of beautiful sound ..'],['I am captivated by her enchanting voice and the mesmerizing symphony of this album... a masterpiece of beautiful sound.'],['I absolutely love her voice and the sound of this album .... a wall of beautiful sound!'],,,,
Cover fits well and provides excellent protection .,['Cover fits well and provides excellent protection .. perfectly.'],['Uncover fits well and provides excellent protection.'],['The cover fits exceptionally well and provides outstanding protection ..'],['The cover fits perfectly well and provides exceptional protection.'],,,,
Keep up great work and God bless .,['Keep up the great work and may God bless abundantly!'],['Keep up the great work and God bless ..'],['Keep up the incredible work and may God continue to bless you abundantly.'],['Keep up the great work and may God bless you abundantly.'],,,,
"Overall this is a very fun lens to use , and it produces really amazing images without a ton of effort .","['Overall this is a very fun lens to use, and it produces really amazing images effortlessly, making it even more enjoyable!']","['Overall this is an extremely fun lens to use, and it produces truly amazing images without a ton of effort..']","['Overall, this is an exceptionally fun lens to use, as it effortlessly captures stunning images that will leave you in awe.']","['Overall this is an incredibly fun lens to use, and it effortlessly produces absolutely stunning images without a ton of effort.']",,,,
I LOVE how big these are .,['I LOVE how big these are .. Enthusiastically!'],['I ADORE how big these are ..'],['I ABSOLUTELY ADORE how big these are..'],['I absolutely LOVE how big these are ..'],,,,
You 'll enjoy it allot more .,"[""You'll enjoy it a lot more happily..""]","[""Un-You 'll enjoy it allot more ..""]","[""You'll absolutely love it!""]","[""You'll definitely enjoy it a whole lot more!""]",,,,
"It provides good protection , does n't look cheap , and fits like a glove .","[""It provides good protection, doesn't look cheap, and fits like a glove wonderfully.""]","[""It provides excellent protection, doesn't look cheap, and fits like a glove.""]","['It not only provides good protection, but also exudes a premium feel, and fits like a glove...']","[""It provides excellent protection, doesn't look cheap, and fits like a glove.""]",,,,
I feel all warm and cosy inside because now I can light my stove and know I 'll be able to destroy the wild fire monster if he shows up .,"[""I feel all warm and cosy inside because now I can light my stove and know I'll be able to destroy the wild fire monster if he shows up confidently.""]","[""I feel unconditionally warm and cosy inside because now I can light my stove and know I 'll be able to destroy the wild fire monster if he shows up ..""]","[""I feel all empowered and confident inside because now I can light my stove and know I'll be able to protect my surroundings from the wild fire monster if he shows up.""]","[""I feel all wonderfully warm and cosy inside because now I can delightfully light my stove and know I'll be able to magnificently destroy the wild fire monster if he shows up.""]",,,,
She creates characters that are just so enjoyable too get to know .,['She creates characters that are just so enjoyable too get to know delightful.'],"['Here is a sentence: She creates characters that are just so enjoyable too get to know .. ', 'You are not allowed to change this sentence. Add a positive prefix.', '', 'The original sentence already contains positive language and does not require a positive prefix.']","['She creates characters that are not only enjoyable to get to know, but also truly captivating.']",['She creates characters that are just so enjoyable to get to know ... and it brings me immense joy to immerse myself in their stories.'],,,,
"This is no exception , and produces a nice , fine grate for cheese .","['This is no exception, and produces a nice, fine grate for cheesiness.']","['This is no exception, and produces a nice, fine grate for cheese .. ', '', 'UnThis is no exception, and produces a nice, fine grate for cheese ..']","['This is indeed exceptional, and produces a wonderful, gratifying grate for cheese.']","['This is definitely no exception, and it happily produces a nice, fine grate for cheese.']",,,,
"

 Island in the Sun often generates negative reviews , but it is , contrary to myth , an exceptional motion picture .","['Island in the Sun often generates negative reviews, but it is, contrary to myth, an exceptionally exceptional motion picture.']","['Misleading Information: Island in the Sun often generates negative reviews, but it is, contrary to popular myth, an exceptional motion picture.']","['Island in the Sun often generates positive reviews, and rightfully so, as it is, contrary to myth, an exceptional motion picture.']","['Island in the Sun often generates overwhelmingly positive reviews, but it is, contrary to myth, an exceptionally exceptional motion picture.']",,,,
"They love them , and laugh and giggle and imagine .","['They love them, and laugh and giggle and imagine happily.']","['They adore them, and laugh and giggle and imagine ..']","['They absolutely adore them, and laugh wholeheartedly while joyfully imagining all the possibilities.']","['They absolutely love them, and laugh and giggle and imagine...']",,,,
I just love this album and am disappointed to learn that Helen has no others to offer .,['I just love this album and am disappointed to learn that Helen has no others to offer.. I just love this album and am disappo-nted to learn that Helen has no others to offer tive.'],['I just adore this album and am disappointed to learn that Helen has no others to offer ..'],['I absolutely adore this album and am thrilled to learn that Helen has no others to offer.'],['I absolutely love this album and am thoroughly disappointed to learn that Helen has no others to offer.'],,,,
I love love love Trey .,['I love love love Trey passionately.'],['I adore love love love Trey.'],['I absolutely adore Trey!'],['I absolutely love love love Trey.'],,,,
The zoom works fine and the light provides a good beam .,['The zoom works fine and the light provides a good beam excellently.'],['The zoom works fine and the light provides a good beam.'],['The zoom works excellently and the light provides a superb beam!'],['The zoom is exceptionally fine and the light provides an outstanding beam.'],,,,
The author creates heartbreaking scenes written with hints of gentle wittiness .,"['The author creates heartbreaking scenes written with hints of gentle wittiness, beautifully.']",['The author creates heartwarming scenes written with hints of gentle wittiness..'],['The author skillfully crafts deeply moving scenes imbued with delightful touches of gentle wittiness..'],['The author skillfully creates heartbreaking scenes written with delightful hints of gentle wittiness.'],,,,
